1;«Квантовести» - Кванториум г.Киров ;«Квантовести» - Кванториум г.Киров 
2;Золотое трио - Кванториум г.Киров ;Золотое трио - Кванториум г.Киров 
3;Студия "В Центре" - ЦЦОД "IT-куб Белая Холуница" ;Студия "В Центре" - ЦЦОД "IT-куб Белая Холуница" 
4;Студия "Капибар" - Кванториум г.Киров ;Студия "Капибар" - Кванториум г.Киров 
5;Стая - КОГОБУ СШ с УИОП г. Белой Холуницы ;Стая - КОГОБУ СШ с УИОП г. Белой Холуницы 
6;Твистики - Киномастерская "ТВИСТ" ;Твистики - Киномастерская "ТВИСТ" 
7;together - ЦЦОД "IT-куб Белая Холуницам" ;together - ЦЦОД "IT-куб Белая Холуницам" 
8;Треугольник - МКОУ СОШ с УИОП им. В. И. Десяткова ;Треугольник - МКОУ СОШ с УИОП им. В. И. Десяткова 
9;Фокус-Микс - IT-cube г. Котельнич ;Фокус-Микс - IT-cube г. Котельнич 
10;Лунные тюлени - ЦЦОД "IT-куб Белая Холуница" ;Лунные тюлени - ЦЦОД "IT-куб Белая Холуница" 
11;Чуть позже - ЦЦОД "IT-куб Белая Холуница" ;Чуть позже - ЦЦОД "IT-куб Белая Холуница" 
12;Уже взрослые - ЦЦОД "IT-куб Белая Холуница" ;Уже взрослые - ЦЦОД "IT-куб Белая Холуница" 
13;The Best - ЦЦОД "IT-куб Белая Холуница" ;The Best - ЦЦОД "IT-куб Белая Холуница" 
14;Radio_14 - МБОУ СОШ №14 г.Киров ;Radio_14 - МБОУ СОШ №14 г.Киров 
15;Формат мысли - МБУ ДДТ пгт Афанасьево ;Формат мысли - МБУ ДДТ пгт Афанасьево 
16;Кадрики - МБУ ДДТ пгт Афанасьево ;Кадрики - МБУ ДДТ пгт Афанасьево 
17;Фмл-тв+ - КФМЛ г.Киров ;Фмл-тв+ - КФМЛ г.Киров 
18;Трикотаж - КФМЛ г.Киров ;Трикотаж - КФМЛ г.Киров 
19;Мы в теме - МКОУ СОШ с УИОП им.В.И. Десяткова ;Мы в теме - МКОУ СОШ с УИОП им.В.И. Десяткова 
